"Parent.Tree.Number","Vegetation.Code","Parent.Tree.Reg.Status.Code","Local.Number","Active.Ind","Tested.Ind","Breeding.Program.Ind","Selection.Date","BC.Source.Ind","Client.Number","Client.Locn.Code","Natural.Selection.Type.Code","Geographic.Location","Latitude.Degrees","Latitude.Minutes","Latitude.Seconds","Longitude.Degrees","Longitude.Minutes","Longitude.Seconds","Seed.Plan.Zone.Code","Elevation","Selection.Age","BGC.Zone.Code","BGC.Subzone.Code","BGC.Variant","Breeding.Selection.Type.Code","Female.Parent.Parent.Tree.Number","Male.Parent.Parent.Tree.Number","Parent.Tree.Comment","Latitude","Longitude"
9918,"PLI","APP","","Y","Y","Y","1984-09-01","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"FS",1771,1450,"",NA,NA
9922,"PLI","APP","","Y","Y","Y","1984-09-01","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"FS",851,1368,"",NA,NA
9933,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",49,11,0,117,35,0,"SA",998,20,"ICH","",NA,"",NA,NA,"parents 1-42-1-2 X 1-42-7-6",49.1833333333333,-117.583333333333
9949,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,42,0,119,11,0,"SA",777,20,"ICH","",NA,"",NA,NA,"Parents 1-72-9-4 X 2-72-10-6",50.7,-119.183333333333
9959,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,42,0,119,11,0,"SA",777,20,"ICH","",NA,"",NA,NA,"1-72-12-1 X 3-72-1-1",50.7,-119.183333333333
9975,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,58,0,120,20,0,"SA",1059,20,"ICH","",NA,"",NA,NA,"Parents 1-14-8-3 X 1-14-2-3",50.9666666666667,-120.333333333333
9977,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,58,0,120,20,0,"SA",1059,20,"ICH","",NA,"",NA,NA,"Parents 1-14-5-1 X 1-14-3-5",50.9666666666667,-120.333333333333
9981,"PLI","APP","","Y","Y","N","1990-01-23","Y",12797,4,"PV","PGTIS",53,39,0,122,58,0,"NCH",823,20,"SBS","",NA,"",NA,NA,"Full sib Seedling from Seedlot from Intra-Inter Crossing
Block  1 Prov 65 Family 12 Seedling 4 x Block 1 Prov 65 Family 6 Seedling 2   1-65-12-4 X 1-65-6-2",53.65,-122.966666666667
9987,"PLI","APP","","Y","Y","N","1990-01-23","Y",12797,9,"PV","PGTIS",53,39,0,122,58,0,"NCH",823,20,"SBS","",NA,"",NA,NA,"Full sib seedling from seedlot from Intra-Intra Crossing Trial
Block 1 Prov 65 Family 9 Seedling 6 x Block 1 Prov 65 Family 14 Seedling 2  1-65-9-6 x 1-65-14-2",53.65,-122.966666666667
9991,"PLI","APP","","Y","Y","N","1990-01-23","Y",12797,9,"PV","PGTIS",53,39,0,122,58,0,"NCH",823,20,"SBS","",NA,"",NA,NA,"Full sib Seedling from Seedlot from Intra-Inter Crossing Trial
Blk 1 Prov 65 Fam 3 Seedling 5 x Blk 1 Prov 65 Fam 2 Seedling 3
1-65-3-5 x 1-65-2-3",53.65,-122.966666666667
9993,"PLI","APP","","Y","Y","N","1990-01-23","Y",12797,9,"PV","PGTIS FAMILY PROVENANCE TRIAL",53,39,0,122,58,0,"NCH",823,20,"SBS","",NA,"",NA,NA,"Full Sib Seedlking from Seedlot from Intra-Inter Crossing Trial
Blk 1 Prov 65 Fam 11 Seedling 2 x Blk 1 Prov 65 Fam 5 Seedling 5 
1-65-11-2 x 1-65-5-5",53.65,-122.966666666667
16121,"PLI","APP","","N","N","N","1991-03-01","Y",12797,9,"","MOFFAT C",NA,NA,NA,NA,NA,NA,"",0,6,"","",NA,"",NA,NA,"",NA,NA
16122,"PLI","APP","","N","N","N","1991-03-01","Y",12797,9,"","MOFFAT C",NA,NA,NA,NA,NA,NA,"",0,6,"","",NA,"",NA,NA,"",NA,NA
16123,"PLI","APP","","N","N","N","1991-03-01","Y",12797,9,"","MOFFAT C",NA,NA,NA,NA,NA,NA,"",0,6,"","",NA,"",NA,NA,"",NA,NA
16124,"PLI","APP","","N","N","N","1991-03-01","Y",12797,9,"","MOFFAT C",NA,NA,NA,NA,NA,NA,"",0,6,"","",NA,"",NA,NA,"",NA,NA
16125,"PLI","APP","","N","N","N","1991-03-01","Y",12797,9,"","CHOWSUNKET",NA,NA,NA,NA,NA,NA,"",0,6,"","",NA,"",NA,NA,"",NA,NA
